time,open,high,low,close,BuyLine,Buy,Sell,Buy Label,Sell Label
2025-03-13T11:50:00-03:00,19420,19492,19416,19461.5,19466.955525304198,NaN,NaN,NaN,NaN
2025-03-13T11:55:00-03:00,19461.25,19463.75,19408,19423.75,19466.955525304198,NaN,NaN,NaN,NaN
2025-03-13T12:00:00-03:00,19424,19475,19424,19460,19466.955525304198,NaN,NaN,NaN,NaN
2025-03-13T12:05:00-03:00,19460.5,19477,19378,19390.75,19466.955525304198,NaN,NaN,NaN,NaN
2025-03-13T12:10:00-03:00,19391,19408.25,19365.25,19378,19428.924391415756,NaN,NaN,NaN,NaN
2025-03-13T12:15:00-03:00,19378.25,19396.25,19359,19392.75,19411.749695707877,NaN,NaN,NaN,NaN
2025-03-13T12:20:00-03:00,19392.5,19394,19362.75,19388.25,19406.37484785394,NaN,NaN,NaN,NaN
2025-03-13T12:25:00-03:00,19388.5,19402.5,19342.75,19355,19406.37484785394,NaN,NaN,NaN,NaN
2025-03-13T12:30:00-03:00,19354.75,19381.5,19345.75,19359.25,19393.593711963484,NaN,NaN,NaN,NaN
2025-03-13T12:35:00-03:00,19358.75,19360.5,19283.5,19295.75,19363.934355981743,NaN,NaN,NaN,NaN
2025-03-13T12:40:00-03:00,19295.75,19392.25,19276.5,19356.5,19363.934355981743,NaN,NaN,19277.454699726022,NaN
2025-03-13T12:45:00-03:00,19355.25,19374.75,19325,19365.25,19301.722661004565,19301.722661004565,NaN,NaN,NaN
2025-03-13T12:50:00-03:00,19365.5,19368,19305.5,19309.75,19301.722661004565,NaN,NaN,NaN,NaN
2025-03-13T12:55:00-03:00,19310,19320.75,19287.25,19296.75,19338.700584748858,NaN,19338.700584748858,NaN,19341.365037534248
2025-03-13T13:00:00-03:00,19297,19336.5,19285.25,19326.75,19338.700584748858,NaN,NaN,NaN,NaN
2025-03-13T13:05:00-03:00,19326.5,19354.75,19294,19343.25,19285.468603812784,19285.468603812784,NaN,19293.22749061644,NaN
2025-03-13T13:10:00-03:00,19343.25,19345.75,19303,19307,19289.959301906394,NaN,NaN,NaN,NaN
2025-03-13T13:15:00-03:00,19307.5,19322.25,19294.5,19312.75,19289.959301906394,NaN,NaN,NaN,NaN
2025-03-13T13:20:00-03:00,19313.25,19325.75,19297.5,19300,19289.959301906394,NaN,NaN,NaN,NaN
2025-03-13T13:25:00-03:00,19299.5,19318.75,19286,19302.75,19289.959301906394,NaN,NaN,NaN,NaN
2025-03-13T13:30:00-03:00,19302.5,19360,19281,19357.75,19289.959301906394,NaN,NaN,NaN,NaN
2025-03-13T13:35:00-03:00,19358,19389.75,19335.25,19384,19323.815915684576,NaN,NaN,NaN,NaN
2025-03-13T13:40:00-03:00,19383.75,19390.75,19317.25,19323.5,19399.067042157712,NaN,19399.067042157712,NaN,19381.44333991706
2025-03-13T13:45:00-03:00,19323.25,19335.25,19240,19267.25,19343.496021078856,NaN,NaN,NaN,NaN
2025-03-13T13:50:00-03:00,19266.5,19311,19249,19274.25,19329.63551053943,NaN,NaN,NaN,NaN
2025-03-13T13:55:00-03:00,19274.75,19290.75,19260,19287.25,19310.955255269713,NaN,NaN,NaN,NaN
2025-03-13T14:00:00-03:00,19287.25,19295,19257.25,19290.75,19307.127627634858,NaN,NaN,NaN,NaN
2025-03-13T14:05:00-03:00,19291.25,19313.25,19254.75,19262.25,19307.127627634858,NaN,NaN,NaN,NaN
2025-03-13T14:10:00-03:00,19262.25,19267,19223.5,19234.5,19278.463156908714,NaN,NaN,NaN,NaN
2025-03-13T14:15:00-03:00,19234.5,19236.75,19178.5,19191.25,19244.619078454358,NaN,NaN,NaN,NaN
2025-03-13T14:20:00-03:00,19190.25,19226.25,19186,19203.5,19238.70953922718,NaN,NaN,NaN,NaN
2025-03-13T14:25:00-03:00,19203.25,19225.75,19197.25,19216.5,19237.76726961359,NaN,NaN,NaN,NaN
2025-03-13T14:30:00-03:00,19216.25,19223.75,19188,19190.75,19231.521134806793,NaN,NaN,NaN,NaN
2025-03-13T14:35:00-03:00,19190,19208,19182,19191.25,19216.923067403397,NaN,NaN,NaN,NaN
2025-03-13T14:40:00-03:00,19191.25,19212.5,19165.5,19181.5,19216.4115337017,NaN,NaN,NaN,NaN
2025-03-13T14:45:00-03:00,19181.25,19192.75,19169.5,19185.5,19202.96826685085,NaN,NaN,NaN,NaN
2025-03-13T14:50:00-03:00,19185.5,19226.75,19179.25,19224.5,19175.453366574577,19175.453366574577,NaN,19189.082899881596,NaN
2025-03-13T14:55:00-03:00,19224.25,19225,19183,19191.75,19175.526683287288,NaN,NaN,NaN,NaN
2025-03-13T15:00:00-03:00,19191,19260,19186.5,19248.25,19183.288341643645,NaN,NaN,NaN,NaN
2025-03-13T15:05:00-03:00,19249,19281.25,19238.75,19263.75,19225.144170821823,NaN,NaN,NaN,NaN
2025-03-13T15:10:00-03:00,19263,19326.5,19258,19313,19250.84708541091,NaN,NaN,NaN,NaN
2025-03-13T15:15:00-03:00,19312.75,19314.75,19269.75,19283,19255.798542705455,NaN,NaN,NaN,NaN
2025-03-13T15:20:00-03:00,19282.5,19314.75,19273.5,19308.25,19261.461771352726,NaN,NaN,NaN,NaN
2025-03-13T15:25:00-03:00,19308.5,19328.75,19294.5,19328,19283.305885676364,NaN,NaN,NaN,NaN
2025-03-13T15:30:00-03:00,19328,19346.75,19303,19321.25,19295.402942838184,NaN,NaN,NaN,NaN
2025-03-13T15:35:00-03:00,19321.5,19357.25,19320,19348.5,19310.85147141909,NaN,NaN,NaN,NaN
